name,description
arxiv computer vision and pattern recognition,"This category covers research on techniques for acquiring, processing, analyzing, and understanding digital images and videos, as well as algorithms for recognizing patterns in visual data."
arxiv human computer interaction,"This category focuses on the study of how humans interact with computers and computer-based systems, including user interfaces, usability, and user experience design."
arxiv signal processing,"This category encompasses research on methods and algorithms for processing, analyzing, and manipulating various types of signals, such as audio, video, communication, and biomedical signals."
arxiv sound,"This category covers research related to the generation, transmission, and perception of sound waves, including acoustics, audio signal processing, speech recognition, and sound synthesis."
arxiv data analysis statistics and probability,"This category includes research on statistical methods, data analysis techniques, probability theory, and their applications in fields like data mining, machine learning, and experimental design."
arxiv classical physics,"This category focuses on research in the areas of classical mechanics, electromagnetism, optics, thermodynamics, and other branches of physics that predate modern physics theories."
arxiv formal languages and automata theory,"This category covers research on formal language theory, automata theory, and their applications in computer science, linguistics, and other fields."
arxiv general economics,"This category encompasses research on economic theories, models, policies, and general economic analysis across various sub-disciplines of economics."
arxiv category theory,"This category focuses on research in category theory, a branch of abstract mathematics that studies the relationships between mathematical structures and their morphisms."
arxiv artificial intelligence,"This category includes research on artificial intelligence techniques, algorithms, and applications, such as machine learning, natural language processing, robotics, and knowledge representation."
arxiv popular physics,"This category covers physics topics and concepts presented in a way that is accessible and engaging for a general audience, rather than highly technical research."
arxiv high energy physics lattice,"This category focuses on research in lattice field theory and lattice gauge theory, which are computational techniques used in high-energy physics to study particle interactions and quantum field theories."
arxiv logic,"This category covers research on mathematical logic, logical systems, and their applications in fields like computer science, philosophy, and mathematics."
arxiv portfolio management,"This category includes research on portfolio management strategies, asset allocation, risk management, and investment decision-making in finance."
arxiv high energy physics theory,"This category covers theoretical research in high-energy physics, including particle physics, quantum field theory, string theory, and other theories related to the fundamental particles and interactions."
arxiv superconductivity,"This category focuses on research related to superconductivity, a phenomenon where certain materials exhibit zero electrical resistance and expel magnetic fields below a critical temperature."
arxiv machine learning,"This category includes research on machine learning algorithms, techniques, and applications, such as supervised and unsupervised learning, deep learning, reinforcement learning, and neural networks."
arxiv distributed parallel and cluster computing,"This category covers research on distributed computing systems, parallel processing techniques, cluster computing architectures, and related topics."
arxiv combinatorics,"This category encompasses research on combinatorics, a branch of mathematics that studies discrete structures and their properties, such as permutations, combinations, graphs, and enumeration."
arxiv earth and planetary astrophysics,"This category focuses on research related to the study of planets, moons, asteroids, and other celestial bodies within our solar system and beyond, as well as their formation and evolution."
arxiv statistical mechanics,"This category includes research on statistical mechanics, a branch of physics that studies the statistical behavior of systems with many particles or components, and its applications in various fields."
arxiv other condensed matter,"This category covers research in condensed matter physics that does not fit into other specific subcategories, such as materials science, solid-state physics, or low-temperature physics."
arxiv condensed matter,"This category encompasses research on the properties and behavior of condensed matter systems, including solids, liquids, and materials with unique properties, such as superconductors and semiconductors."
arxiv computers and society,"This category covers research on the societal impacts of computing technologies, including ethical, legal, and policy issues related to computer systems and applications, as well as the interaction between computers and society."
arxiv computer science and game theory,"This category includes research that combines concepts from computer science and game theory, such as algorithmic game theory, mechanism design, and computational economics."
arxiv general topology,"This category focuses on research in general topology, a branch of mathematics that studies the properties of topological spaces and their transformations, including concepts like continuity, compactness, and connectedness."
arxiv software engineering,"This category covers research on software development processes, methodologies, tools, and techniques, as well as software quality assurance, software maintenance, and software project management."
arxiv biological physics,"This category includes research at the intersection of physics and biology, such as biophysics, biomechanics, and the application of physical principles and techniques to study biological systems and processes."
arxiv numerical analysis,"This category encompasses research on numerical methods and computational techniques for solving mathematical problems, including numerical algorithms, error analysis, and software development for scientific computing."
arxiv data structures and algorithms,"This category covers research on data structures, algorithms, and their analysis, with applications in various areas of computer science and mathematics, including algorithm design, complexity analysis, and optimization."
arxiv metric geometry,"This category focuses on research in metric geometry, a branch of mathematics that studies metric spaces and their properties, including distance functions, curvature, and geometric inequalities."
arxiv general finance,"This category includes research on general financial theories, models, and concepts, as well as financial markets, institutions, and regulations."
arxiv statistical finance,"This category covers research on statistical and quantitative methods applied to finance, such as portfolio optimization, risk management, and financial econometrics."
arxiv atomic physics,"This category focuses on research related to the study of atoms, their structure, properties, and interactions, including atomic spectroscopy, atomic collisions, and atomic processes."
arxiv high energy physics phenomenology,"This category includes research on the phenomenological aspects of high-energy physics, such as the interpretation of experimental data and the development of models to describe particle interactions and processes."
arxiv neurons and cognition,"This category covers research on the neural mechanisms underlying cognition, including perception, attention, memory, learning, and decision-making processes."
arxiv applications,"This category encompasses research on the practical applications of various scientific and technological fields, including case studies and real-world implementations."
arxiv number theory,"This category focuses on research in number theory, a branch of mathematics that studies the properties of integers and their relationships."
