id	approved_rate	skipped_rate	expired_rate	rejected_rate	education	english_profile	english_tested	banned
0	0.80703515	0.032160804	0.022110553	0.13869347	high	1	1	1
1	0.0	0.0	0.0	1.0	none	1	1	0
2	0.0	0.0	0.2	0.8	none	1	1	0
3	0.0	0.0	1.0	0.0	high	1	1	0
4	0.94166666	0.0	0.019444445	0.03888889	high	1	1	1
5	0.0	0.0	1.0	0.0	none	1	1	0
6	1.0	0.0	0.0	0.0	high	1	1	0
7	0.8333333	0.0	0.16666667	0.0	high	1	1	0
8	1.0	0.0	0.0	0.0	high	1	1	1
9	0.4025974	0.025974026	0.0	0.5714286	high	1	1	1
10	0.75	0.0	0.25	0.0	high	1	1	1
11	0.6928934	0.26269037	0.024111675	0.020304568	high	1	0	0
12	0.06896552	0.0	0.0	0.9310345	high	1	1	0
13	0.55921054	0.0	0.0	0.44078946	high	1	1	0
14	0.4223301	0.55582523	0.0	0.02184466	high	1	1	0
15	0.7	0.0	0.0	0.3	none	1	1	0
16	0.4814815	0.4814815	0.037037037	0.0	basic	1	1	0
17	0.0	0.6666667	0.33333334	0.0	none	1	1	0
18	0.0	0.0	0.0	1.0	high	1	1	0
19	1.0	0.0	0.0	0.0	middle	1	1	1
20	0.8103448	0.10057471	0.020114943	0.06896552	high	1	1	0
21	0.6481481	0.0	0.11111111	0.24074075	high	1	1	0
22	0.49171272	0.4198895	0.022099448	0.06629834	high	1	1	0
23	0.8235294	0.0	0.1764706	0.0	high	1	1	1
24	0.5555556	0.0	0.33333334	0.11111111	high	1	1	0
25	0.8195122	0.12195122	0.014634146	0.043902438	high	1	0	1
26	0.954023	0.0	0.040229887	0.0057471264	high	1	1	0
27	0.4291939	0.0	0.0021786492	0.5686275	high	1	1	0
28	0.98214287	0.0	0.017857144	0.0	middle	1	1	0
29	0.6	0.2	0.0	0.2	high	1	1	0
30	1.0	0.0	0.0	0.0	high	1	1	0
31	0.9	0.0	0.0	0.1	none	1	1	0
32	0.0	0.0	0.5	0.5	high	1	1	0
33	1.0	0.0	0.0	0.0	high	1	1	0
34	0.6122449	0.0	0.0	0.3877551	high	1	0	1
35	0.68686867	0.0	0.02020202	0.2929293	high	1	1	0
36	0.35714287	0.0	0.26785713	0.375	none	1	1	0
37	0.2	0.0	0.8	0.0	high	1	1	0
38	0.0	0.0	1.0	0.0	none	1	1	0
39	0.25	0.0	0.125	0.625	none	1	1	0
40	0.3970588	0.1764706	0.014705882	0.4117647	high	1	1	0
41	0.64705884	0.29411766	0.05882353	0.0	none	1	1	0
42	0.987013	0.0	0.012987013	0.0	high	1	1	0
43	0.8613861	0.12376238	0.014851485	0.0	high	1	0	0
44	0.9	0.06666667	0.033333335	0.0	high	1	1	1
45	0.82907665	0.13752456	0.033398822	0.0	high	1	1	0
46	0.61764705	0.0	0.029411765	0.3529412	high	1	1	0
47	0.0	0.0	1.0	0.0	none	1	1	0
48	0.8913044	0.02173913	0.08695652	0.0	high	1	1	0
49	0.0	0.0	1.0	0.0	none	1	1	0
50	0.7473684	0.0	0.05263158	0.2	high	1	1	1
51	0.7	0.0	0.3	0.0	high	1	1	1
52	0.7632743	0.113938056	0.021017699	0.10176991	high	1	1	1
53	0.8951965	0.0	0.030567685	0.074235804	high	1	1	0
54	0.8108108	0.027027028	0.16216215	0.0	high	1	1	0
55	0.90909094	0.0	0.09090909	0.0	high	1	1	0
56	0.6666667	0.0	0.33333334	0.0	none	1	1	0
57	0.9411765	0.0	0.05882353	0.0	high	1	1	0
58	1.0	0.0	0.0	0.0	none	1	1	1
59	1.0	0.0	0.0	0.0	high	1	1	1
60	0.9350649	0.030303031	0.034632035	0.0	high	1	1	0
61	0.75735295	0.23529412	0.007352941	0.0	none	1	1	0
62	0.9472574	0.033755273	0.008438818	0.010548524	high	1	1	1
63	0.3220339	0.5762712	0.050847456	0.050847456	high	1	1	0
64	0.91113746	0.0	0.015402843	0.073459715	high	1	1	1
65	0.75384617	0.0	0.03076923	0.21538462	high	1	1	0
66	0.0	0.0	1.0	0.0	high	1	1	0
67	0.6792453	0.0	0.0	0.3207547	none	1	1	0
68	1.0	0.0	0.0	0.0	none	1	0	0
69	0.8965517	0.03448276	0.06896552	0.0	high	1	1	0
70	0.0	0.0	1.0	0.0	high	1	1	0
71	0.9607843	0.0	0.039215688	0.0	high	1	1	1
72	0.96	0.0	0.04	0.0	none	1	1	1
73	0.46464646	0.02020202	0.07070707	0.44444445	high	1	1	1
74	0.8	0.0	0.13333334	0.06666667	high	1	1	1
75	0.8689408	0.120287254	0.010771993	0.0	none	1	1	1
76	1.0	0.0	0.0	0.0	high	1	1	1
77	0.3888889	0.44444445	0.037037037	0.12962963	basic	1	1	0
78	0.6692913	0.26771653	0.062992126	0.0	none	1	1	0
79	0.40865386	0.50961536	0.040865384	0.040865384	basic	1	1	0
80	0.85714287	0.10204082	0.040816326	0.0	none	1	1	0
81	0.0	0.0	1.0	0.0	high	1	1	0
82	0.7777778	0.16666667	0.055555556	0.0	high	1	1	0
83	0.70212764	0.12765957	0.17021276	0.0	none	1	1	0
84	0.92156863	0.019607844	0.039215688	0.019607844	high	1	1	0
85	0.94736844	0.013157895	0.02631579	0.013157895	high	1	1	0
86	0.8235294	0.0	0.1764706	0.0	high	1	1	0
87	0.7647059	0.0	0.05882353	0.1764706	basic	1	1	0
88	0.0	0.0	1.0	0.0	high	1	1	0
89	1.0	0.0	0.0	0.0	high	1	0	0
90	0.675	0.3	0.025	0.0	high	1	1	0
91	0.98333335	0.0	0.016666668	0.0	high	1	1	1
92	0.74556214	0.01775148	0.041420117	0.19526628	high	1	1	0
93	0.9444444	0.055555556	0.0	0.0	none	1	1	0
94	0.7070707	0.030303031	0.01010101	0.25252524	high	1	1	0
95	0.95454544	0.0	0.045454547	0.0	none	1	1	1
96	0.90384614	0.0	0.09615385	0.0	high	1	1	0
97	0.5	0.1	0.0	0.4	high	1	0	1
98	0.8333333	0.033333335	0.13333334	0.0	high	1	1	0
99	0.7777778	0.0	0.22222222	0.0	none	1	1	1
100	0.8333333	0.0	0.0	0.16666667	none	1	1	0
101	0.5	0.0	0.5	0.0	high	1	1	0
102	0.0	0.0	1.0	0.0	none	1	1	0
103	0.55172414	0.10344828	0.13793103	0.20689656	high	1	1	0
104	0.7647059	0.05882353	0.11764706	0.05882353	high	1	1	0
105	0.5	0.0	0.5	0.0	high	1	1	0
106	0.8	0.0	0.0	0.2	none	1	1	0
107	0.73333335	0.0	0.26666668	0.0	basic	1	1	0
108	0.90909094	0.0	0.09090909	0.0	high	1	0	0
109	0.5285714	0.0	0.014285714	0.45714286	high	1	1	1
110	0.7	0.0	0.05	0.25	high	1	1	0
111	0.6315789	0.0	0.05263158	0.31578946	none	1	1	0
112	0.53488374	0.3488372	0.11627907	0.0	high	1	1	0
113	0.8095238	0.0952381	0.023809524	0.071428575	high	1	1	0
114	0.0	0.0	1.0	0.0	high	1	1	0
115	0.0	0.0	1.0	0.0	high	1	0	0
116	0.74850297	0.0	0.017964073	0.23353294	high	1	1	0
117	0.56363636	0.34545454	0.09090909	0.0	high	1	1	1
118	0.8666667	0.0	0.13333334	0.0	high	1	1	0
119	0.5	0.0	0.0	0.5	none	1	1	0
120	0.95652175	0.0	0.04347826	0.0	high	1	1	0
121	1.0	0.0	0.0	0.0	basic	1	0	1
122	0.7606838	0.08547009	0.034188036	0.11965812	high	1	1	0
123	0.0	0.0	1.0	0.0	high	1	0	0
124	0.14772727	0.0	0.03409091	0.8181818	high	1	1	0
125	0.43333334	0.0	0.033333335	0.53333336	none	1	1	0
126	0.46666667	0.0	0.06666667	0.46666667	none	1	1	0
127	1.0	0.0	0.0	0.0	none	1	1	1
128	0.46153846	0.0	0.07692308	0.46153846	none	1	1	0
129	0.94482756	0.0	0.027586207	0.027586207	high	1	1	0
130	0.77530366	0.0	0.0	0.22469635	high	1	1	0
131	0.3181818	0.3181818	0.09090909	0.27272728	basic	1	0	0
132	0.0	0.0	1.0	0.0	none	1	1	0
133	0.6447812	0.0	0.008417509	0.34680134	high	1	0	0
134	0.972973	0.0	0.027027028	0.0	high	1	0	0
135	0.75	0.0	0.0	0.25	high	1	1	0
136	0.7222222	0.12962963	0.046296295	0.10185185	none	1	1	0
137	0.28502417	0.44927537	0.077294685	0.1884058	none	1	1	0
138	0.0	0.0	1.0	0.0	none	1	1	0
139	0.83870965	0.0	0.0	0.16129032	middle	1	1	0
140	0.63309354	0.28057554	0.021582734	0.0647482	high	1	1	0
141	0.6966292	0.0	0.056179777	0.24719101	high	1	1	1
142	0.6666667	0.33333334	0.0	0.0	high	1	1	0
143	0.0	0.0	0.0	1.0	high	1	1	0
144	0.30769232	0.0	0.0	0.6923077	high	1	1	1
145	0.64285713	0.35714287	0.0	0.0	none	1	1	1
146	0.61616164	0.1919192	0.01010101	0.18181819	high	1	1	0
147	1.0	0.0	0.0	0.0	high	1	0	0
148	0.96938777	0.0	0.030612245	0.0	none	1	0	0
149	0.66016716	0.18662953	0.019498607	0.13370474	high	1	0	0
150	0.673716	0.20543806	0.06042296	0.06042296	high	1	1	0
151	0.9285714	0.0	0.071428575	0.0	none	1	1	0
152	0.0	0.0	1.0	0.0	high	1	0	0
153	0.93333334	0.06666667	0.0	0.0	high	1	1	0
154	0.84070796	0.088495575	0.07079646	0.0	high	1	0	0
155	0.95	0.044827588	0.005172414	0.0	high	1	1	1
156	0.6666667	0.0	0.33333334	0.0	high	1	0	0
157	0.3876652	0.32599118	0.07488987	0.21145375	high	1	1	0
158	0.6666667	0.0	0.0	0.33333334	high	1	1	0
159	0.5862069	0.18965517	0.06896552	0.15517241	high	1	1	0
160	0.3548387	0.0	0.016129032	0.62903225	high	1	0	0
161	0.980198	0.0	0.01980198	0.0	none	1	1	0
162	0.6591928	0.16143498	0.02690583	0.15246637	high	1	1	1
163	1.0	0.0	0.0	0.0	high	1	1	0
164	1.0	0.0	0.0	0.0	high	1	1	1
165	0.8108108	0.054054055	0.027027028	0.10810811	high	1	1	0
166	0.8805681	0.09102647	0.012588767	0.015816655	basic	1	1	1
167	0.8787879	0.09090909	0.030303031	0.0	high	1	1	0
168	0.41666666	0.0	0.16666667	0.41666666	middle	1	1	1
169	0.0	0.0	1.0	0.0	none	1	1	0
170	0.4117647	0.3137255	0.019607844	0.25490198	basic	1	1	0
171	1.0	0.0	0.0	0.0	high	1	0	1
172	0.2777778	0.11111111	0.055555556	0.5555556	none	1	1	0
173	0.7692308	0.0	0.23076923	0.0	high	1	0	0
174	0.6857143	0.114285715	0.2	0.0	high	1	1	0
175	0.6764706	0.0	0.029411765	0.29411766	basic	1	1	0
176	0.0	0.0	1.0	0.0	none	1	1	0
177	0.789916	0.0	0.037815128	0.17226891	high	1	1	0
178	0.0	0.0	1.0	0.0	none	1	0	0
179	0.9166667	0.0	0.083333336	0.0	high	1	1	1
180	1.0	0.0	0.0	0.0	high	1	1	1
181	1.0	0.0	0.0	0.0	none	1	0	1
182	0.5	0.5	0.0	0.0	high	1	1	0
183	0.6666667	0.0952381	0.1904762	0.04761905	high	1	1	0
184	0.0	0.0	0.0	1.0	none	1	1	0
185	0.0	0.0	1.0	0.0	none	1	1	0
186	0.73170733	0.0	0.021680217	0.24661246	high	1	1	0
187	0.99800795	0.0	0.001992032	0.0	none	1	1	1
188	0.9166667	0.041666668	0.041666668	0.0	none	1	1	0
189	1.0	0.0	0.0	0.0	basic	1	0	0
190	0.90430623	0.0	0.019138755	0.07655502	high	1	1	0
191	0.6479592	0.3010204	0.05102041	0.0	high	1	0	0
192	0.0	0.0	1.0	0.0	high	1	1	0
193	0.0	0.0	1.0	0.0	high	0	0	0
194	0.6626506	0.0	0.060240965	0.27710843	high	1	1	1
195	0.9166667	0.0	0.083333336	0.0	high	1	1	1
196	0.6875	0.0625	0.0625	0.1875	basic	1	1	0
197	0.6666667	0.0	0.0	0.33333334	none	1	1	0
198	0.0	0.0	0.33333334	0.6666667	none	1	1	0
199	0.4469697	0.0	0.0	0.5530303	basic	1	0	1
200	0.5982906	0.0	0.034188036	0.36752138	none	1	1	0
201	0.6043956	0.0	0.032967035	0.36263737	high	1	1	0
202	0.64179105	0.0	0.029850746	0.3283582	none	1	1	0
203	0.7941176	0.029411765	0.029411765	0.14705883	none	1	1	0
204	0.55172414	0.0	0.03448276	0.41379312	basic	1	1	0
205	1.0	0.0	0.0	0.0	high	1	1	0
206	0.85714287	0.0	0.14285715	0.0	none	1	1	0
207	0.97727275	0.0	0.022727273	0.0	high	1	1	1
208	0.6666667	0.006535948	0.3137255	0.013071896	high	1	1	0
209	0.25	0.0	0.0	0.75	none	1	1	0
210	0.91764706	0.011764706	0.05882353	0.011764706	high	1	1	0
211	0.6875	0.21875	0.09375	0.0	high	1	1	0
212	0.84016395	0.008196721	0.016393442	0.1352459	none	1	1	0
213	0.0	0.0	1.0	0.0	high	0	0	0
214	0.0	0.0	1.0	0.0	high	1	0	0
215	0.8887195	0.085365854	0.0121951215	0.013719512	none	1	1	0
216	0.9	0.0	0.1	0.0	high	1	1	1
