id	1	2	3	4	5	6	7	8	9	10
0	1	1	1	1	1	0	0	0	1	0
1	0	0	1	1	0	1	0	1	0	0
2	1	0	0	0	1	1	0	0	1	0
3	0	0	1	0	1	1	1	0	1	1
4	1	1	1	1	1	0	1	1	0	1
5	0	1	1	0	1	0	1	0	1	0
6	1	1	1	0	1	1	0	1	0	1
7	0	1	0	0	0	0	1	1	0	1
8	1	0	0	0	1	0	0	0	0	0
9	1	0	0	1	1	0	1	0	0	0
10	0	1	1	1	0	0	0	0	1	1
11	1	1	0	1	0	1	0	1	1	1
12	0	1	0	0	0	1	1	0	0	0
13	1	0	0	1	1	0	1	1	0	1
14	1	0	0	1	1	1	0	0	1	1
15	0	0	1	1	0	0	1	0	0	0
16	0	1	1	0	1	1	1	1	1	0
17	1	1	0	0	0	0	0	0	0	0
18	0	0	1	1	1	1	0	1	0	0
19	0	0	0	1	0	1	0	0	0	0
20	1	0	0	0	0	0	0	0	1	0
21	1	0	1	1	1	1	1	1	1	1
22	0	1	1	0	1	0	1	0	1	0
23	0	0	1	0	1	1	0	1	1	1
24	1	1	0	1	0	1	0	0	0	0
25	1	1	0	1	0	0	0	0	0	0
26	1	0	1	1	0	0	1	0	0	1
27	0	1	0	0	1	1	0	1	1	1
28	1	0	1	1	1	1	0	0	1	1
29	0	1	1	1	0	1	0	0	1	1
30	1	1	1	1	1	0	1	0	1	0
31	1	0	0	1	0	0	0	0	1	0
32	1	0	0	1	0	1	1	1	1	0
33	0	1	0	1	0	0	1	0	0	1
34	0	1	0	1	1	0	1	0	0	1
35	0	0	0	1	1	0	1	1	0	0
36	0	0	1	0	1	1	0	0	0	1
37	0	1	1	0	1	1	1	1	0	1
38	1	0	0	1	1	0	1	0	0	0
39	1	0	1	1	1	1	1	0	1	1
40	1	0	0	1	1	1	0	0	0	1
41	1	1	1	0	0	0	1	0	1	0
42	1	1	1	1	1	1	0	0	0	0
43	1	1	1	1	0	0	0	0	0	1
44	0	0	1	0	0	1	1	0	0	1
45	0	0	1	1	1	0	0	1	1	0
46	1	1	0	1	1	0	1	1	0	1
47	0	1	1	0	1	0	0	1	0	0
48	1	0	0	1	1	1	1	1	1	1
49	1	1	0	1	0	0	1	1	0	0
50	1	0	1	0	0	0	0	1	0	1
51	0	0	0	1	1	0	0	0	0	0
52	1	0	1	1	1	1	1	1	0	0
53	0	1	1	0	0	1	1	0	0	0
54	0	0	0	1	1	0	1	1	0	1
55	1	0	1	0	1	1	1	0	0	1
56	0	1	0	1	1	0	0	0	0	1
57	1	1	0	0	0	0	0	0	1	1
58	1	0	0	0	0	1	0	1	1	1
59	0	1	1	0	0	0	1	0	1	0
60	0	1	1	0	0	1	1	0	0	1
61	0	1	0	0	0	0	0	1	0	0
62	0	1	1	0	0	1	1	0	0	0
63	0	0	0	1	0	1	1	1	1	1
64	1	0	1	1	0	1	1	1	1	1
65	1	0	1	0	0	0	0	1	1	0
66	1	0	0	1	0	1	1	0	0	1
67	1	0	0	1	0	0	1	0	0	1
68	1	0	0	1	0	1	0	1	1	1
69	0	0	0	0	0	0	1	1	1	1
70	0	0	1	0	1	0	0	1	0	0
71	0	1	1	0	0	1	0	1	1	1
72	1	1	0	1	1	1	1	0	1	0
73	1	1	0	1	0	1	0	0	1	0
74	1	1	0	1	0	0	1	0	0	0
75	0	0	1	1	1	0	0	1	1	0
76	0	1	0	1	1	1	0	1	1	1
77	0	1	1	0	1	1	0	1	1	0
78	0	0	0	1	0	1	0	0	1	1
79	1	0	0	0	0	1	1	1	1	1
80	0	1	1	1	1	0	1	1	0	0
81	0	1	0	1	0	0	1	0	1	1
82	1	0	0	1	0	0	0	1	0	1
83	0	0	1	0	0	1	1	1	1	1
84	0	0	1	0	1	0	0	1	0	0
85	0	1	1	1	1	1	0	1	1	0
86	0	0	0	0	0	0	1	1	1	0
87	1	0	1	0	0	1	1	0	1	1
88	1	0	0	0	0	0	0	0	1	0
89	1	0	0	0	1	0	0	0	0	0
90	1	1	0	1	0	1	1	1	1	0
91	0	1	1	1	1	1	0	0	1	1
92	0	1	1	1	1	0	1	0	0	1
93	1	0	0	1	1	1	1	0	0	1
94	1	1	0	1	1	0	1	0	1	1
95	0	0	0	0	1	0	0	0	1	1
96	0	0	1	0	0	0	0	0	1	1
97	0	0	0	0	1	0	0	1	1	1
98	1	1	1	1	1	1	0	0	1	1
99	0	1	0	1	0	0	1	1	1	0
100	0	0	0	0	0	1	0	1	1	1
101	1	1	0	0	0	1	1	0	1	1
102	0	0	0	1	0	1	0	1	1	1
103	0	0	1	0	0	1	1	0	1	0
104	0	0	0	1	1	1	0	0	1	1
105	0	0	0	0	1	0	0	1	0	1
106	0	1	1	0	0	1	0	1	1	0
107	0	0	0	0	0	0	1	1	1	0
108	0	1	1	1	1	0	1	0	0	0
109	1	0	0	0	1	0	0	0	1	0
110	0	1	0	0	1	0	0	1	0	0
111	1	0	1	0	1	0	1	1	1	0
112	1	0	1	0	0	1	0	0	1	0
113	1	1	0	0	0	0	1	1	1	1
114	0	1	0	0	0	0	1	0	1	0
115	0	0	1	1	1	0	1	1	1	1
116	1	0	1	1	0	0	1	0	1	1
117	0	0	1	0	0	0	1	0	0	1
118	0	1	0	1	0	0	0	1	0	0
119	1	1	0	1	0	0	0	0	0	0
120	0	1	1	0	0	1	1	0	1	1
121	0	1	1	1	1	1	0	1	1	0
122	0	0	0	1	1	0	0	0	0	1
123	0	0	0	1	1	0	0	1	0	0
124	0	1	0	1	0	0	1	1	1	0
125	1	0	1	0	1	1	0	1	1	0
126	1	0	0	1	0	1	1	0	0	0
127	0	1	0	0	1	0	0	1	0	1
128	0	0	0	0	1	1	1	0	1	0
129	1	1	0	0	0	0	0	0	1	1
130	0	1	1	1	0	0	0	1	1	0
131	0	1	1	0	1	0	1	1	0	0
132	0	1	1	1	1	1	1	1	1	0
133	0	1	1	1	0	1	0	1	1	0
134	1	1	1	0	0	0	1	0	0	1
135	1	1	0	1	1	1	0	1	0	1
136	0	0	0	1	1	1	1	0	1	1
137	0	0	0	0	1	1	0	0	0	0
138	0	0	1	1	1	0	1	0	1	1
139	0	1	0	0	1	1	1	1	0	1
140	1	0	1	0	0	1	1	1	1	1
141	0	0	1	0	0	0	0	1	0	0
142	0	1	1	0	0	1	0	0	0	1
143	0	0	0	1	1	1	1	1	0	0
144	1	0	1	0	1	1	1	0	0	1
145	1	0	1	0	0	0	0	0	1	1
146	0	0	1	1	0	0	1	1	0	1
147	1	0	1	1	0	0	0	0	0	0
